name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Brasserie des 3 Lacs,Switzerland,Nano Brewery,14 Beers,336 Ratings,(3.438),https://untappd.com/brewery/150421,01/04/2020 10:19:07
Dystopian Brewing,Switzerland,Nano Brewery,39 Beers,334 Ratings,(3.591),https://untappd.com/brewery/418519,01/04/2020 10:19:07
BrüW,Switzerland,Brew Pub,42 Beers,330 Ratings,(3.664),https://untappd.com/brewery/294069,01/04/2020 10:19:08
Maitri,Switzerland,Nano Brewery,7 Beers,330 Ratings,(3.205),https://untappd.com/brewery/219725,01/04/2020 10:19:08
tingel tangel BEER,Switzerland,Nano Brewery,2 Beers,328 Ratings,(3.457),https://untappd.com/brewery/396792,01/04/2020 10:19:08
Suonen Bräu,Switzerland,Nano Brewery,3 Beers,320 Ratings,(3.335),https://untappd.com/brewery/52659,01/04/2020 10:19:08
Schlossbraui Nürensdorf,Switzerland,Nano Brewery,46 Beers,320 Ratings,(3.378),https://untappd.com/brewery/135689,01/04/2020 10:19:09
Endo Bier,Switzerland,Contract Brewery,7 Beers,319 Ratings,(3.636),https://untappd.com/brewery/285822,01/04/2020 10:19:09
Brasserie de la Côte,Switzerland,Nano Brewery,19 Beers,316 Ratings,(3.137),https://untappd.com/brewery/74532,01/04/2020 10:19:09
la Vouivre,Switzerland,Nano Brewery,21 Beers,315 Ratings,(3.497),https://untappd.com/brewery/97267,01/04/2020 10:19:10
Kehrmühle,Switzerland,Nano Brewery,25 Beers,312 Ratings,(3.691),https://untappd.com/brewery/231313,01/04/2020 10:19:10
Bleisch Brewery,Switzerland,Nano Brewery,63 Beers,311 Ratings,(3.698),https://untappd.com/brewery/189894,01/04/2020 10:19:10
Brauwerkstatt Jegenstorf,Switzerland,Nano Brewery,15 Beers,310 Ratings,(3.624),https://untappd.com/brewery/67670,01/04/2020 10:19:10
