link,location,no_checkins_all_time,no_users_all_time,monthly,beer_name,beer_stye,abv,ibu,beer_rating,raters,added,beer_link
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Winter Sour,Sour - Other,7.2% ABV,N/A IBU,(3.64),"1,934 Ratings",Added 11/22/12,https://untappd.com/b/trois-dames-winter-sour/267436
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,La Fraîcheur,Witbier,5% ABV,N/A IBU,(3.51),"1,441 Ratings",Added 06/19/11,https://untappd.com/b/trois-dames-la-fraicheur/58652
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Jalapeños Raspberry Double,Spiced / Herbed Beer,6.5% ABV,N/A IBU,(3.81),"1,278 Ratings",Added 10/24/14,https://untappd.com/b/trois-dames-jalapenos-raspberry-double/853748
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Rivale,Red Ale - Irish,4.8% ABV,N/A IBU,(3.43),"1,135 Ratings",Added 02/08/12,https://untappd.com/b/trois-dames-rivale/129387
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Handle In Hand,Sour - Flanders Red Ale,6.5% ABV,N/A IBU,(3.84),"1,136 Ratings",Added 02/11/17,https://untappd.com/b/trois-dames-handle-in-hand/1944072
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Pasionaria,IPA - Imperial / Double,9% ABV,N/A IBU,(3.56),"1,065 Ratings",Added 02/09/11,https://untappd.com/b/trois-dames-pasionaria/29443
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Saison Brett,Farmhouse Ale - Saison,6% ABV,N/A IBU,(3.95),"1,056 Ratings",Added 07/01/15,https://untappd.com/b/trois-dames-saison-brett/1144240
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Saison Houblon,Farmhouse Ale - Saison,6.8% ABV,N/A IBU,(3.68),983 Ratings,Added 12/26/10,https://untappd.com/b/trois-dames-saison-houblon/17474
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Espresso Stout,Stout - Coffee,6.5% ABV,N/A IBU,(3.51),913 Ratings,Added 04/29/11,https://untappd.com/b/trois-dames-espresso-stout/46971
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Bise Noire,Stout - Other,6.5% ABV,N/A IBU,(3.49),948 Ratings,Added 06/30/11,https://untappd.com/b/trois-dames-bise-noire/61079
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,Pacifique Pale Ale,Pale Ale - American,5% ABV,N/A IBU,(3.59),782 Ratings,Added 03/24/12,https://untappd.com/b/trois-dames-pacifique-pale-ale/149858
https://untappd.com/brewery/4720,"Sainte-Croix, Vaud Switzerland","68,155","33,601",270,La Voisine,Blonde Ale,5.5% ABV,N/A IBU,(3.38),744 Ratings,Added 05/06/12,https://untappd.com/b/trois-dames-la-voisine/169398
